ban1,ban2,ban3,ban4,paddy
1079,1075,740,2535,1
1156,1106,821,2626,1
1092,1067,745,2511,1
1097,1061,721,2431,1
1097,1061,721,2431,1
1080,1048,708,2455,1
1094,1061,717,2444,1
1094,1061,708,2554,1
1088,1072,737,2609,1
1109,1098,729,2615,1
1099,1099,750,2716,1
1096,1093,762,2646,1
1094,1087,721,2657,1
1106,1098,717,2589,1
1106,1098,717,2589,1
1103,1090,727,2557,1
1091,1069,719,2509,1
1062,1021,624,2673,1
1061,1021,615,2945,1
1066,1033,604,2943,1
1060,1039,620,2796,1
1053,1029,666,2826,1
1119,1121,798,2778,1
1120,1085,792,2502,1
1078,1035,705,2351,1
1078,1035,705,2351,1
1084,1053,709,2381,1
1098,1081,753,2616,1
1115,1095,749,2647,1
1100,1084,744,2589,1
1100,1096,728,2546,1
1093,1098,744,2482,1
1098,1080,736,2383,1
1102,1039,818,2292,1
1076,1012,671,2428,1
1057,969,635,2245,1
1053,1005,658,2704,1
1065,1023,606,3041,1
1065,1027,608,3192,1
1056,1030,626,3105,1
1057,1044,612,3057,1
1134,1089,776,2935,1
1150,1121,863,2589,1
1089,1068,721,2481,1
1089,1068,721,2481,1
1095,1072,744,2568,1
1090,1075,704,2667,1
1079,1070,704,2557,1
1113,1033,785,2349,1
1059,973,640,2407,1
1052,988,612,2554,1
1048,987,601,2510,1
1046,986,599,2398,1
1036,981,596,2311,1
1067,1022,617,3089,1
1075,1023,617,3107,1
1056,1030,626,3105,1
1057,1044,612,3057,1
1134,1089,776,2935,1
1150,1121,863,2589,1
1089,1068,721,2481,1
1110,1019,816,2458,1
1063,988,651,2610,1
1055,969,631,2359,1
1062,973,615,2469,1
1044,960,596,2475,1
1047,963,599,2313,1
1051,954,598,2311,1
1122,1046,825,2089,1
1122,1046,825,2089,1
1110,1019,816,2458,1
1063,988,651,2610,1
1055,969,631,2359,1
1062,973,615,2469,1
1044,960,596,2475,1
1047,963,599,2313,1
1051,954,598,2311,1
1055,958,608,2473,1
1099,1008,770,2193,1
1067,981,691,2362,1
1067,981,691,2362,1
1097,994,713,2497,1
1045,972,661,2710,1
1056,966,608,2468,1
1047,952,603,2378,1
1039,957,601,2425,1
1043,961,604,2381,1
1045,952,583,2375,1
1052,974,602,2741,1
1049,1017,642,3084,1
1129,1056,838,2257,1
1079,981,711,2365,1
1043,950,661,2244,1
1051,959,646,2347,1
1051,959,646,2347,1
1062,982,674,2423,1
1064,978,720,2655,1
1052,960,593,2587,1
1039,955,602,2417,1
1048,967,612,2384,1
1041,957,606,2438,1
1034,940,587,2435,1
1061,973,598,2741,1
1057,1022,605,3224,1
1057,1022,605,3224,1
1147,1060,899,2266,1
1102,1034,770,2411,1
1066,987,679,2396,1
1055,967,645,2343,1
1051,973,643,2322,1
1059,971,644,2394,1
1059,971,644,2394,1
1072,969,647,2477,1
1096,986,709,2503,1
1040,963,602,2737,1
1057,967,607,2508,1
1061,972,609,2442,1
1066,966,616,2491,1
1043,971,599,2508,1
1053,973,591,2594,1
1047,985,578,2980,1
1047,985,578,2980,1
1104,1024,816,2590,1
1074,985,688,2752,1
1065,978,646,2583,1
1054,993,638,2491,1
1065,983,636,2498,1
1058,961,643,2429,1
1051,970,639,2500,1
1051,970,639,2500,1
1049,973,625,2592,1
1067,983,661,2534,1
1051,976,630,2814,1
1063,968,609,2618,1
1055,971,611,2532,1
1041,970,610,2579,1
1055,981,602,2611,1
1046,966,589,2469,1
1043,962,595,2566,1
1043,962,595,2566,1
1049,972,591,2705,1
1123,1037,888,2134,1
1125,1057,867,2442,1
1057,979,636,3037,1
1062,977,633,2873,1
1052,981,629,2647,1
1064,983,632,2608,1
1059,986,632,2607,1
1072,982,638,2506,1
1042,983,634,2579,1
1042,983,634,2579,1
1051,979,633,2738,1
1063,977,640,2698,1
1071,1010,671,2910,1
1050,986,612,2969,1
1055,978,604,2602,1
1034,969,599,2626,1
1048,968,614,2643,1
1058,963,602,2467,1
1055,976,602,2447,1
1055,976,602,2447,1
1058,975,627,2550,1
1065,1010,662,2653,1
1147,1082,926,2301,1
1102,1036,802,2739,1
1066,999,674,3081,1
1055,969,602,3111,1
1059,988,605,2985,1
1060,976,604,2760,1
1060,979,622,2702,1
1053,991,629,2725,1
1064,977,627,2667,1
1049,984,620,2653,1
